month,revenue
2022-01,70609.63
2022-02,63225.69
2022-03,64779.71
2022-04,78465.40
2022-05,73037.02
2022-06,66868.55
2022-07,72096.47
2022-08,73904.91
2022-09,77869.16
2022-10,83610.78
2022-11,70526.89
2022-12,84464.75
2023-01,115439.64
2023-02,91815.52
2023-03,101529.42
2023-04,94095.22
2023-05,93011.83
2023-06,88203.90
2023-07,98822.98
2023-08,107203.90
2023-09,95680.79
2023-10,108715.83
2023-11,106648.71
2023-12,111495.71
2024-01,99272.17
2024-02,96699.78
2024-03,95231.21
2024-04,91875.84
2024-05,89476.87
2024-06,97550.01
2024-07,107203.90
2024-08,98470.41
2024-09,105926.21
2024-10,110232.92
2024-11,107911.50
2024-12,115439.64
2025-01,148558.26
2025-02,131102.08
2025-03,138083.24
2025-04,138626.24
2025-05,133865.16
2025-06,144521.48
2025-07,149097.10
2025-08,151923.99
2025-09,163449.78
2025-10,250830.46
2025-11,146953.33
2025-12,170994.00
