Store_ID,total_amount,PERFORMANCE_RANKING
835,623175.65,"GREAT PERFORMANCE"
838,597565.68,"GREAT PERFORMANCE"
830,316775.48,"Medium Performance"
824,314513.77,"Medium Performance"
834,311056.42,"Medium Performance"
833,307320.52,"Medium Performance"
839,306326.30,"Medium Performance"
827,301703.77,"Medium Performance"
836,300358.95,"Medium Performance"
828,299936.24,"Medium Performance"
831,296244.33,"Medium Performance"
829,293676.93,"Medium Performance"
825,292353.59,"Medium Performance"
826,285704.59,"Medium Performance"
832,261593.20,"Medium Performance"
837,67112.57,"Poor performance"
